application_id,age,annual_income,credit_score,loan_amount,years_employed,debt_to_income_ratio,existing_loans,employment_type,marital_status,education_level,residence_type,city_tier,card_type_requested,application_date,approval_status
103163,28,126982,366,36812,4,0.47,5,Salaried,Divorced,Bachelors,Rented,Tier1,Gold,09/01/2025,Approved
103164,28,71870,580,6018,28,0.18,4,Self-Employed,Married,High School,Rented,Tier1,Gold,29/11/2025,Approved
103165,,153396,778,19617,11,0.19,6,Business,Divorced,Bachelors,Rented,Tier2,Gold,03/04/2025,Approved
103166,53,92203,310,28868,21,0.65,1,Self-Employed,Divorced,High School,Family,Tier1,Platinum,05/05/2024,Approved
103167,46,184224,621,41235,1,0.54,5,Salaried,Divorced,High School,Rented,Tier1,Gold,03/08/2025,Approved
103168,59,75061,539,43774,13,0.66,4,Self-Employed,Married,High School,Family,Tier3,Silver,25/11/2024,Approved
103169,48,83235,359,32090,9,0.59,5,Self-Employed,Divorced,Masters,Owned,Tier3,Silver,17/07/2025,Rejected
103170,25,62890,464,37809,2,0.31,3,,Married,Masters,Family,Tier1,Gold,14/09/2025,Approved
103171,28,115073,488,2889,7,0.13,5,Salaried,Single,Masters,Owned,Tier3,Gold,07/02/2024,Approved
103172,45,86401,786,25060,16,0.46,6,Salaried,Married,Masters,Owned,Tier1,Silver,05/08/2025,Approved
103173,47,36217,391,11091,3,0.28,0,Self-Employed,Single,Masters,Rented,Tier3,Silver,28/04/2025,Approved
103174,43,73351,,47283,20,0.33,6,Salaried,Single,High School,Owned,Tier2,Silver,01/01/2025,Approved
103175,50,58741,808,20039,29,0.33,2,Salaried,Married,,,Tier2,Gold,08/08/2025,Approved
103176,43,176726,374,44289,18,0.66,4,Salaried,Single,High School,Family,Tier1,Silver,03/07/2024,Approved
103177,40,26408,727,4718,14,0.09,3,Business,Married,High School,Rented,Tier1,Gold,08/10/2025,Approved
103178,38,67903,684,22919,19,0.18,0,Business,Married,Bachelors,Rented,Tier1,Gold,01/11/2024,Approved
103179,38,132042,352,,29,0.45,7,Business,Divorced,Masters,Rented,Tier3,Gold,22/10/2024,Rejected
103180,22,157290,474,10698,9,0.62,3,Salaried,Single,Bachelors,Owned,Tier1,Gold,09/02/2024,Rejected
103181,24,147189,773,48251,22,0.65,6,Business,Married,Bachelors,Owned,Tier3,Silver,07/08/2024,Rejected
103182,50,134268,660,35398,23,0.41,2,Salaried,Married,Bachelors,Owned,Tier2,Platinum,24/08/2025,Rejected
103183,53,55105,569,22444,11,0.07,6,Business,Single,Masters,Owned,Tier2,Platinum,20/01/2024,Approved
103184,56,94634,706,18375,8,0.29,6,Self-Employed,Single,High School,Rented,Tier2,Platinum,02/01/2024,Rejected
103185,38,142426,423,49051,14,0.65,0,Salaried,Single,High School,Owned,Tier3,Silver,08/09/2024,Approved
103186,57,163691,675,38358,28,0.37,5,Self-Employed,Single,Bachelors,Family,Tier3,Silver,10/02/2025,Approved
103187,39,168011,691,7866,17,0.52,4,Self-Employed,Married,High School,Family,Tier2,Gold,15/08/2025,Approved
103188,48,43226,481,29544,19,0.22,5,Self-Employed,Single,Masters,Rented,Tier3,Platinum,17/06/2024,Approved
103189,60,50322,335,42990,0,0.07,4,Business,Married,High School,Rented,Tier3,Silver,03/07/2024,Approved
103190,40,142504,511,5921,2,0.43,6,Business,Single,High School,Family,Tier1,Gold,08/02/2025,Approved
103191,53,83215,433,47113,7,0.59,5,Self-Employed,Divorced,Masters,Owned,Tier3,,08/02/2024,Approved
103192,32,172950,790,42522,30,0.69,4,Self-Employed,Single,Bachelors,Owned,Tier3,Gold,27/10/2025,Approved
103193,35,162632,737,33759,7,0.6,4,Self-Employed,Single,Bachelors,Rented,Tier1,Gold,04/04/2024,Approved
103194,61,194350,345,23665,14,0.41,7,Business,Married,Masters,,Tier2,Gold,02/11/2024,Approved
103195,59,192284,700,25942,21,0.45,0,Self-Employed,Married,Bachelors,Family,Tier2,Gold,05/08/2025,Rejected
103196,22,119835,787,7249,31,0.59,2,Self-Employed,Divorced,Bachelors,Family,Tier1,Silver,16/06/2025,Approved
103197,49,98079,731,1793,4,0.06,0,Salaried,Divorced,Bachelors,Rented,Tier2,Gold,27/02/2024,Approved
103198,61,48946,727,28679,8,0.67,4,Self-Employed,Single,Bachelors,Owned,Tier2,Silver,23/01/2024,Approved
103199,30,187812,816,14993,14,0.4,2,Salaried,Married,,Family,Tier2,Silver,22/09/2025,Rejected
103200,22,135733,761,34754,32,0.67,1,Salaried,Single,Bachelors,Owned,Tier2,Platinum,24/10/2024,Rejected
103201,31,32253,480,26533,21,0.55,1,Salaried,Married,Bachelors,Owned,Tier3,Platinum,24/10/2024,Approved
103202,33,104311,444,4595,10,0.15,6,Business,Married,Masters,Rented,Tier2,Gold,14/02/2025,Rejected
103203,30,57813,564,49295,5,0.16,5,Self-Employed,Married,High School,Owned,Tier3,Gold,05/04/2024,Rejected
103204,34,183704,705,48181,16,0.28,7,Self-Employed,Married,Masters,Rented,Tier3,Platinum,27/05/2024,Approved
103205,38,73365,783,3256,4,0.22,0,Salaried,Divorced,Bachelors,Rented,Tier2,Gold,02/12/2025,Approved
103206,29,92593,781,,8,0.34,4,Salaried,Married,Masters,Owned,Tier1,Silver,18/06/2024,Approved
103207,59,189503,536,47490,28,0.44,5,Salaried,Divorced,Masters,Family,Tier3,,17/01/2025,Approved
103208,48,193508,,30408,22,0.33,1,Salaried,Divorced,Masters,Owned,Tier1,Gold,31/07/2025,Rejected
103209,23,174485,638,31946,30,0.09,1,Self-Employed,Single,Masters,Rented,Tier2,Platinum,08/07/2025,Approved
103210,40,63485,567,44182,19,0.68,6,Self-Employed,Single,High School,Owned,Tier2,Gold,23/12/2025,Approved
103211,26,136504,565,37944,22,0.33,3,Salaried,Divorced,Masters,Family,Tier1,Platinum,14/07/2025,Approved
103212,47,41101,827,8961,6,0.6,3,Salaried,Divorced,Bachelors,Owned,Tier3,Silver,12/12/2024,Rejected
103213,22,33831,391,16416,3,0.1,5,Salaried,Divorced,High School,Owned,Tier3,Platinum,13/10/2025,Approved
103214,49,76897,547,39022,23,0.58,6,Salaried,Married,Masters,Rented,Tier3,Platinum,02/09/2024,Approved
103215,58,30004,318,9429,13,0.16,5,Business,Married,Bachelors,Owned,Tier3,Gold,09/02/2024,Approved
103216,23,70924,689,14783,24,0.49,2,Self-Employed,Divorced,Bachelors,Owned,Tier2,Platinum,02/04/2025,Approved
103217,36,177581,687,25290,6,0.48,2,Self-Employed,Divorced,Bachelors,Owned,Tier3,Platinum,22/05/2025,Approved
103218,50,62170,394,46685,14,0.64,4,Business,Divorced,Bachelors,Family,Tier2,Silver,23/09/2025,Rejected
103219,60,68555,729,35500,12,0.26,1,Salaried,Single,High School,Owned,Tier3,Platinum,27/03/2025,Approved
103220,22,170734,336,49243,18,0.12,0,Salaried,Single,Bachelors,Owned,Tier2,Gold,11/05/2024,Approved
103221,37,143115,692,45021,,0.61,0,Self-Employed,Married,Bachelors,Owned,Tier3,Silver,01/04/2024,Approved
103222,61,129216,590,34582,25,0.27,3,Business,Married,Bachelors,Family,Tier1,Platinum,07/07/2025,Rejected
103223,32,90930,602,30285,32,0.2,6,Salaried,Single,Bachelors,Owned,Tier3,Platinum,08/08/2024,Approved
103224,55,61365,700,40803,14,0.37,6,Self-Employed,Married,High School,Owned,Tier3,Silver,30/01/2025,Approved
103225,63,87188,643,2186,5,0.14,6,Self-Employed,Married,Masters,Owned,Tier1,Platinum,04/10/2024,Approved
103226,21,123633,817,19609,24,0.24,2,Self-Employed,Divorced,Masters,Family,Tier2,Silver,08/03/2024,Approved
103227,35,182745,676,10176,16,0.3,4,Business,Divorced,Masters,Rented,Tier3,Silver,29/03/2024,Approved
103228,46,88471,464,26373,8,0.23,6,Business,Single,High School,Rented,Tier1,Gold,04/01/2025,Approved
103229,57,173228,312,32955,27,0.34,3,Business,Divorced,Masters,Rented,Tier3,Platinum,06/08/2025,Approved
103230,41,82287,324,22557,,0.3,3,Business,Married,Bachelors,Owned,Tier2,Silver,08/08/2024,Approved
103231,51,157717,422,29738,2,0.55,4,Business,Divorced,High School,Family,Tier3,Silver,11/03/2024,Approved
103232,45,84076,428,26119,10,0.65,4,Business,Married,Masters,Rented,Tier2,Gold,26/01/2025,Rejected
103233,43,141475,846,17903,,0.12,5,Self-Employed,Single,Masters,Family,Tier2,Gold,13/06/2025,Approved
103234,44,75151,608,11738,22,0.59,1,Self-Employed,Divorced,Masters,Family,Tier1,Gold,24/08/2025,Approved
103235,58,92384,735,6041,29,0.66,6,Salaried,Single,High School,Owned,Tier3,Silver,29/02/2024,Approved
103236,48,124865,481,24254,11,0.5,4,Salaried,Divorced,High School,Owned,Tier3,Silver,01/04/2025,Approved
103237,,58541,342,41527,34,0.7,4,Salaried,Divorced,Bachelors,Family,Tier1,Gold,20/03/2025,Approved
103238,63,97847,703,10250,33,0.27,7,Business,Divorced,High School,Rented,Tier2,Gold,26/06/2025,Approved
103239,38,75955,562,27812,3,0.59,3,Business,Single,High School,Family,Tier1,Gold,22/04/2024,Approved
103240,56,165362,369,26688,23,0.49,3,Salaried,Divorced,Bachelors,Rented,Tier1,Gold,01/06/2025,Approved
103241,55,186215,591,20790,27,0.26,0,Salaried,Married,Masters,Family,Tier1,Silver,07/04/2025,Approved
103242,29,180581,513,,1,0.51,5,Business,Divorced,Masters,Rented,Tier2,Gold,25/05/2024,Approved
103243,58,112780,446,37798,,0.38,0,Business,Divorced,High School,Rented,Tier2,Silver,05/11/2024,Rejected
103244,50,192813,324,9327,27,0.17,0,Self-Employed,Married,Bachelors,Family,Tier3,Gold,16/06/2024,Approved
103245,64,182970,622,2136,12,0.16,4,Salaried,Single,Masters,Family,Tier1,Platinum,20/07/2024,Approved
103246,54,,408,32915,8,0.51,1,Business,Single,Bachelors,Family,Tier1,Platinum,31/03/2025,Approved
103247,52,137854,550,26938,29,0.51,3,Self-Employed,Married,Bachelors,Family,Tier3,Silver,23/08/2025,Approved
103248,23,86768,781,1554,26,0.4,2,Self-Employed,Divorced,High School,Family,Tier2,Gold,26/04/2025,Approved
103249,23,68262,474,24421,12,0.38,6,Business,Married,Masters,Rented,Tier2,Gold,06/11/2025,Approved
103250,48,161578,646,,27,0.17,6,Business,Married,Bachelors,Rented,Tier3,Gold,06/01/2024,Rejected
103251,64,45605,469,31893,17,0.33,1,Self-Employed,Divorced,Masters,Family,Tier3,Gold,18/06/2025,Approved
103252,35,103590,301,37171,33,0.62,5,Self-Employed,Married,Masters,Rented,Tier3,Platinum,17/02/2024,Rejected
103253,61,53231,661,19638,20,0.61,6,Business,Single,Masters,Rented,Tier3,Silver,03/09/2025,Rejected
103254,43,104397,595,1948,0,0.48,2,Salaried,Single,Masters,Rented,Tier1,Platinum,07/02/2025,Approved
103255,60,102123,501,33702,22,0.7,5,Salaried,Single,Bachelors,,Tier2,Platinum,27/03/2024,Approved
103256,31,38515,588,42063,33,0.63,6,Salaried,Married,Masters,Rented,Tier1,Gold,14/03/2025,Approved
103257,52,112211,361,25193,8,0.14,4,Salaried,Divorced,,Rented,Tier2,Silver,20/09/2025,Rejected
103258,56,194694,801,8207,7,0.31,7,Salaried,Single,High School,Family,Tier2,Silver,18/10/2024,Rejected
103259,53,41600,425,10238,29,0.14,5,Salaried,,High School,Rented,Tier2,Platinum,31/12/2024,Approved
103260,44,183964,348,8419,17,0.35,7,Salaried,Divorced,Bachelors,Family,Tier3,Platinum,27/10/2024,Rejected
103261,59,94310,478,21410,1,0.55,6,Business,Single,High School,Owned,Tier2,Gold,07/12/2024,Approved
103262,54,177873,792,6956,10,0.15,2,,Married,High School,Rented,Tier2,Silver,08/12/2024,Approved
103263,48,193767,732,15625,30,0.62,5,Self-Employed,Single,Masters,Family,Tier3,Platinum,11/02/2024,Approved
103264,57,184925,601,24753,30,0.42,5,Self-Employed,Married,Bachelors,,Tier3,Platinum,11/10/2024,Approved
103265,27,160501,468,8322,23,0.54,0,Self-Employed,Divorced,Bachelors,Owned,Tier1,Platinum,21/01/2024,Approved
103266,24,160678,568,3614,20,0.08,5,Salaried,Single,Masters,Family,Tier3,Gold,17/08/2024,Rejected
103267,57,160550,663,49233,31,0.11,3,Business,Single,High School,Owned,Tier1,Gold,21/03/2025,Rejected
103268,21,139380,399,,29,0.45,1,Self-Employed,Married,Masters,Owned,Tier3,Silver,24/02/2025,Approved
103269,,196206,514,26539,7,0.59,0,Salaried,Married,Bachelors,Owned,Tier1,Gold,13/06/2024,Approved
103270,40,136780,396,4271,32,0.62,3,Salaried,Divorced,Masters,Rented,Tier2,Silver,13/07/2024,Rejected
103271,39,181547,847,10029,0,0.5,6,Salaried,Single,Bachelors,Family,Tier3,Platinum,15/10/2024,Approved
103272,49,91177,636,6678,32,0.18,5,Business,Single,Bachelors,Rented,Tier1,Silver,30/10/2024,Approved
103273,30,177802,658,20572,12,0.18,6,,Single,High School,Rented,Tier2,Silver,02/03/2025,Approved
103274,38,177185,589,48989,21,0.62,0,Business,Married,Bachelors,Owned,Tier2,Platinum,20/03/2024,Approved
103275,48,176083,695,30095,4,0.12,1,Self-Employed,Married,High School,Rented,Tier1,Platinum,29/10/2025,Rejected
103276,,80746,659,16571,11,0.5,4,Self-Employed,Single,Masters,Family,Tier2,Gold,20/01/2024,Approved
103277,63,148075,646,44162,28,0.4,2,Business,Married,High School,Family,Tier1,Platinum,08/07/2025,Approved
103278,51,198925,423,20718,2,0.32,7,Business,Divorced,Masters,Owned,Tier2,Platinum,14/03/2024,Approved
103279,47,110195,837,16866,10,0.34,4,Business,Single,Masters,Rented,Tier2,Platinum,30/08/2024,Rejected
103280,31,61818,721,3198,25,0.66,5,Business,Single,Masters,Rented,Tier3,Platinum,30/12/2024,Approved
103281,58,193393,635,10407,1,0.61,5,Salaried,Divorced,Bachelors,Owned,Tier2,Gold,03/09/2025,Rejected
103282,25,46309,802,10072,28,0.61,6,Self-Employed,Single,High School,Rented,Tier2,Platinum,08/01/2024,Approved
103283,28,174760,356,18138,28,0.31,2,Salaried,Single,Masters,Owned,Tier3,Silver,12/04/2024,Approved
103284,54,53176,375,6217,18,0.12,2,Self-Employed,Single,Masters,Rented,Tier3,Silver,16/11/2024,Rejected
103285,32,93879,765,,9,0.7,6,Salaried,Single,,Family,Tier3,Platinum,04/02/2025,Rejected
103286,58,92592,584,42660,10,0.14,5,Salaried,Married,Masters,Owned,Tier2,Silver,14/10/2025,Approved
103287,21,109728,685,,6,0.39,1,Salaried,Divorced,Bachelors,Owned,Tier3,Gold,31/01/2025,Approved
103288,51,165488,558,34138,12,0.22,1,Business,Single,High School,Rented,Tier1,Platinum,20/08/2024,Rejected
103289,24,196066,776,35500,1,0.38,4,Salaried,Married,Masters,Family,Tier2,Platinum,17/06/2025,Approved
103290,25,33584,310,49282,29,0.25,3,Salaried,Single,High School,Family,Tier1,Gold,30/11/2024,Rejected
103291,50,149555,559,6259,,0.63,7,Business,Married,Bachelors,Owned,Tier1,Platinum,16/02/2024,Approved
103292,44,118302,692,30584,0,0.68,3,,Married,Bachelors,Owned,Tier1,Platinum,24/05/2025,Approved
103293,23,147408,668,15116,26,0.32,4,Self-Employed,Divorced,Masters,Family,Tier2,Gold,05/02/2024,Approved
103294,31,43830,483,23783,6,0.1,6,Salaried,Married,High School,Rented,Tier2,Silver,11/09/2024,Approved
103295,24,102066,315,42949,0,0.48,2,Self-Employed,Single,Bachelors,Owned,Tier1,Platinum,22/02/2024,Approved
103296,46,28591,805,22155,24,0.29,6,Self-Employed,Divorced,High School,Rented,Tier2,Platinum,26/03/2024,Rejected
103297,47,118878,385,33389,3,0.69,1,,Divorced,High School,Rented,Tier2,Platinum,13/07/2024,Approved
103298,63,150407,,34183,29,0.11,4,Self-Employed,Single,Masters,Rented,Tier1,Silver,29/01/2024,Approved
103299,47,141869,776,32048,7,0.13,3,Business,Single,Bachelors,Family,Tier2,,11/11/2025,Rejected
103300,62,46395,463,33121,20,0.5,2,Business,Divorced,Masters,Rented,Tier3,Gold,02/08/2025,Approved
103301,26,41738,323,28541,3,0.54,3,Salaried,Married,High School,Rented,Tier2,Platinum,16/06/2024,Approved
103302,35,158703,611,37105,3,0.36,2,Self-Employed,Divorced,Masters,Owned,Tier2,Gold,08/02/2025,Approved
103303,50,173977,537,22642,7,0.23,3,Salaried,Divorced,Masters,Owned,Tier1,Silver,16/12/2024,Approved
103304,62,44056,761,41795,25,0.25,5,Business,Single,Bachelors,Family,Tier2,Silver,24/05/2024,Rejected
103305,57,146656,761,38825,28,0.27,0,Salaried,Single,High School,Owned,Tier1,Platinum,07/01/2025,Approved
103306,57,140316,537,40735,15,0.2,2,Business,Single,Masters,Owned,Tier3,Gold,10/12/2024,Approved
103307,62,191519,321,35388,18,0.6,2,Business,Divorced,High School,Rented,Tier3,Silver,30/05/2025,Approved
103308,57,79418,479,29920,0,0.09,6,Business,Divorced,Masters,Family,Tier1,Silver,29/02/2024,Approved
103309,55,62190,798,41761,33,0.31,2,Self-Employed,Single,Bachelors,Family,Tier1,Silver,24/12/2024,Approved
103310,43,51014,774,32027,28,0.54,0,Self-Employed,Divorced,Masters,Owned,Tier1,Silver,25/02/2025,Rejected
103311,26,150563,638,31480,26,0.05,0,Self-Employed,Single,Bachelors,Family,Tier3,Gold,17/07/2025,Rejected
103312,24,26780,830,8386,29,0.62,6,Self-Employed,Divorced,Masters,Family,Tier3,Platinum,26/03/2025,Rejected
103313,38,67192,461,38661,5,0.51,3,Business,Married,Masters,Owned,Tier1,Gold,30/10/2025,Rejected
103314,29,129875,360,22480,1,0.1,1,Business,Single,Bachelors,Family,Tier1,Platinum,05/09/2025,Rejected
103315,49,,384,38624,13,0.63,6,Business,Married,Masters,Family,Tier1,Silver,25/08/2025,Approved
103316,33,68923,846,4655,7,0.37,5,Self-Employed,Single,Masters,Family,Tier2,Silver,08/02/2025,Approved
103317,37,114196,789,25868,2,0.47,3,Salaried,Single,Bachelors,Owned,Tier2,Silver,20/10/2024,Rejected
103318,52,27395,304,32129,34,0.62,2,Salaried,Divorced,Masters,Family,Tier2,Platinum,24/07/2024,Approved
103319,42,127449,375,17463,26,0.62,2,Self-Employed,Single,High School,Rented,Tier2,Gold,25/04/2024,Approved
103320,24,146747,552,31080,33,0.32,5,Self-Employed,Married,Masters,Rented,Tier2,Silver,13/02/2024,Rejected
103321,25,171851,306,46192,27,0.2,6,Self-Employed,Married,Bachelors,Owned,Tier2,Platinum,02/08/2024,Rejected
103322,57,96028,772,5308,30,0.22,3,Self-Employed,Divorced,Masters,Owned,Tier1,Silver,17/07/2025,Approved
103323,61,185794,437,19246,,0.55,4,Business,Single,High School,Rented,Tier3,Platinum,02/09/2025,Rejected
103324,33,163183,657,34386,18,0.65,1,Self-Employed,Single,High School,Family,Tier2,Gold,09/08/2024,Approved
103325,54,166056,,12470,10,0.1,0,Business,Divorced,Masters,Owned,Tier2,Silver,27/08/2025,Approved
103326,42,118176,617,49260,8,0.06,1,Self-Employed,Single,Masters,Owned,Tier1,Silver,01/04/2025,Approved
103327,43,,757,41882,29,0.58,4,Business,Single,Bachelors,Family,Tier3,Gold,09/03/2024,Approved
103328,23,57577,552,13188,5,0.3,3,Business,Married,Masters,Owned,Tier2,Silver,02/02/2025,Approved
103329,62,163783,500,11669,13,0.23,7,Business,Married,Bachelors,Family,Tier3,Gold,05/05/2024,Rejected
103330,54,110548,831,12443,30,0.17,6,Self-Employed,Married,High School,Owned,Tier1,Gold,03/05/2024,Approved
103331,52,150093,464,20629,10,0.28,3,Business,Married,High School,Rented,Tier2,Silver,11/06/2024,Approved
103332,41,160168,531,27954,4,0.68,7,Self-Employed,Single,High School,Rented,Tier3,Platinum,11/01/2024,Approved
103333,64,91555,627,8235,30,0.69,2,Business,Single,High School,Owned,Tier3,Gold,06/08/2025,Approved
103334,41,114848,537,10914,1,0.27,5,Business,Married,Masters,Family,Tier2,Silver,04/01/2025,Rejected
103335,64,33254,419,43849,16,0.68,7,Self-Employed,Single,Masters,Rented,Tier1,Gold,08/02/2025,Approved
103336,31,150410,549,29547,2,0.24,3,Salaried,Divorced,Bachelors,Rented,Tier3,,16/10/2025,Approved
103337,59,162037,635,49435,28,0.61,4,Self-Employed,Divorced,Bachelors,Owned,Tier2,Platinum,14/02/2024,Approved
103338,24,,583,12593,32,0.19,3,Salaried,Single,High School,Rented,Tier2,Gold,10/08/2025,Rejected
103339,21,155509,497,41928,13,0.59,6,Self-Employed,Single,Bachelors,Family,Tier3,Platinum,26/08/2024,Rejected
103340,48,57963,715,28885,28,0.28,3,Business,Married,Masters,Family,Tier3,Gold,03/06/2025,Approved
103341,44,28273,694,10291,22,0.18,4,Self-Employed,Married,Bachelors,Rented,Tier3,Platinum,27/06/2025,Approved
103342,55,40330,450,45978,16,0.66,7,Salaried,Divorced,High School,Owned,Tier2,Silver,11/03/2024,Approved
103343,33,177566,564,5132,10,0.19,0,Business,Single,Bachelors,Family,Tier2,Platinum,16/08/2024,Approved
103344,54,101422,519,32683,27,0.69,7,Self-Employed,Single,Masters,Family,Tier1,Platinum,16/12/2024,Approved
103345,31,147089,515,1844,6,0.12,1,Self-Employed,Married,Bachelors,Family,Tier3,Gold,06/05/2024,Approved
103346,56,28212,614,32869,7,0.06,6,Business,Single,High School,Rented,Tier1,Silver,03/09/2024,Approved
103347,37,112594,515,32516,28,0.62,3,Salaried,Married,Masters,Family,Tier1,Silver,16/04/2024,Approved
103348,55,157152,634,35411,24,0.43,1,Self-Employed,Married,Bachelors,Family,Tier1,Platinum,09/03/2025,Rejected
103349,38,57675,658,35031,6,0.32,1,Salaried,Single,High School,Rented,Tier3,Silver,29/08/2024,Approved
103350,60,47007,460,36702,21,0.1,2,Self-Employed,Married,Bachelors,Rented,Tier1,Silver,26/11/2025,Approved
103351,42,138805,810,23523,8,0.42,0,Self-Employed,Divorced,Bachelors,Rented,Tier1,Platinum,27/05/2025,Rejected
103352,44,107641,456,40942,10,0.31,1,Self-Employed,Married,Masters,Owned,Tier2,Silver,21/09/2024,Approved
103353,39,120815,461,33983,33,0.36,2,Salaried,Divorced,Masters,Owned,Tier3,Platinum,15/04/2024,Rejected
103354,57,71815,341,5776,26,0.46,7,Business,Single,Masters,Rented,Tier2,Silver,30/10/2024,Rejected
103355,59,108482,479,19724,21,0.47,4,Self-Employed,Single,High School,Owned,Tier1,Silver,30/12/2025,Approved
103356,41,25639,602,15100,2,0.67,4,Business,Single,Bachelors,Family,Tier2,Silver,28/11/2025,Rejected
103357,28,88593,629,43467,7,0.48,4,Self-Employed,Single,High School,Owned,Tier1,Gold,14/02/2024,Rejected
103358,48,103038,728,34884,5,0.27,5,Self-Employed,Single,Masters,Owned,Tier2,Platinum,30/09/2024,Rejected
103359,25,118899,649,41518,24,0.26,5,Salaried,Married,High School,Family,Tier3,Silver,16/03/2025,Rejected
103360,37,28736,419,47348,1,0.36,6,Business,,High School,Rented,Tier1,Silver,07/12/2025,Approved
103361,57,41473,374,14932,15,0.22,4,Business,Single,Masters,Family,Tier3,Platinum,10/06/2025,Approved
103362,56,153771,422,44700,20,0.29,4,Salaried,Single,Bachelors,Family,Tier3,Platinum,11/06/2024,Rejected
103363,39,150801,481,22718,14,0.6,2,Business,Divorced,High School,Family,Tier1,Platinum,01/03/2025,Approved
103364,47,190091,556,47014,33,0.61,7,Self-Employed,Married,Bachelors,Rented,Tier3,Silver,12/02/2025,Approved
103365,54,132598,568,20640,19,0.46,0,Self-Employed,Single,Masters,Owned,Tier1,Platinum,20/05/2024,Rejected
103366,31,111623,792,43108,30,0.43,0,Business,Single,Bachelors,Family,Tier1,Gold,20/12/2024,Approved
103367,32,61820,479,20560,14,0.33,2,Business,Married,Bachelors,Family,Tier2,Silver,22/07/2025,Approved
103368,41,82589,448,7380,27,0.46,2,Business,Divorced,Bachelors,Owned,Tier1,Silver,07/12/2024,Rejected
103369,31,,817,48756,5,0.57,5,Salaried,Single,Bachelors,Owned,Tier2,Platinum,28/07/2024,Approved
103370,59,152378,447,29829,2,0.53,3,Business,Divorced,High School,Family,Tier1,Platinum,06/12/2024,Approved
103371,48,49220,308,49601,22,0.07,1,Business,Married,High School,Family,Tier3,Gold,16/09/2025,Rejected
103372,25,85531,477,30579,2,0.53,5,Self-Employed,Single,Masters,Family,Tier2,Gold,26/04/2024,Rejected
103373,37,135002,694,31200,7,0.52,6,Salaried,Married,Masters,Owned,Tier1,Silver,22/07/2025,Approved
103374,40,198497,630,20729,1,0.11,5,Business,Single,Masters,Family,Tier1,Silver,02/03/2025,Approved
103375,61,34387,355,29537,6,0.15,7,Business,Single,High School,Rented,Tier3,Platinum,16/09/2025,Rejected
103376,32,101815,506,43100,16,0.56,4,Salaried,Single,High School,Owned,Tier1,Platinum,17/11/2025,Approved
103377,26,52584,404,25125,6,0.41,5,Self-Employed,Single,High School,Rented,Tier3,Gold,24/10/2024,Approved
103378,37,69783,846,6655,32,0.58,5,Salaried,Married,Bachelors,Owned,Tier2,Gold,22/01/2025,Rejected
103379,39,,654,3448,3,0.17,1,Self-Employed,Single,High School,Family,Tier3,Gold,21/03/2025,Approved
103380,46,149494,788,15185,15,0.07,7,Business,Divorced,High School,Owned,Tier1,Platinum,12/02/2025,Rejected
103381,64,140814,802,18211,20,0.16,3,Business,Single,High School,Owned,Tier3,Gold,21/07/2025,Approved
103382,64,155752,349,23280,17,0.34,7,Salaried,Married,Masters,Family,Tier3,Platinum,08/05/2025,Approved
103383,52,166929,386,34971,27,0.39,6,Business,Divorced,Masters,Owned,Tier3,Platinum,09/03/2024,Approved
103384,26,198333,602,40387,15,0.61,0,Salaried,Single,Masters,Family,Tier1,Gold,06/07/2025,Rejected
103385,56,98588,300,7798,21,0.52,6,Salaried,Married,High School,Family,Tier1,Platinum,03/11/2025,Rejected
103386,58,173067,680,18228,5,0.69,4,Salaried,Married,High School,Owned,Tier3,Platinum,10/09/2024,Rejected
103387,31,38580,661,36739,29,0.1,5,Business,Single,Masters,Rented,Tier2,Platinum,09/07/2025,Approved
103388,53,43240,680,35036,27,0.13,7,Self-Employed,Divorced,Bachelors,Family,Tier1,Gold,01/04/2024,Approved
103389,44,108446,461,49720,16,0.1,7,Business,Married,Masters,Family,Tier2,Platinum,06/05/2025,Approved
103390,43,129533,318,30309,11,0.4,7,Self-Employed,Married,Bachelors,Family,Tier1,Platinum,24/03/2024,Approved
103391,35,190938,542,5744,11,0.22,5,Self-Employed,Divorced,Bachelors,Family,Tier3,Gold,06/06/2024,Rejected
103392,47,105974,428,41503,28,0.49,0,Self-Employed,Single,High School,Rented,Tier3,Platinum,25/04/2024,Rejected
103393,31,98401,475,15548,1,0.14,2,Business,Single,High School,Family,Tier3,Gold,14/01/2025,Approved
103394,37,168283,708,43589,28,0.12,6,Self-Employed,Single,High School,Rented,Tier2,Gold,13/07/2024,Approved
103395,34,189340,383,4530,29,0.35,1,Business,Single,Bachelors,Rented,Tier2,Platinum,10/10/2024,Rejected
103396,47,28646,675,,24,0.29,0,Business,Divorced,Bachelors,Family,Tier2,Platinum,10/08/2024,Rejected
103397,38,67816,521,9995,20,0.59,3,Salaried,Married,Masters,Owned,Tier3,Silver,06/09/2025,Approved
103398,48,114460,624,25703,21,0.59,0,Business,Single,Masters,Rented,Tier3,Silver,31/01/2024,Approved
103399,24,69112,750,26527,9,0.13,4,Business,Married,Masters,Owned,Tier1,Platinum,17/11/2024,Approved
103400,27,76048,715,,30,0.58,7,Business,Married,Masters,Family,Tier3,Gold,04/04/2024,Rejected
103401,55,157850,744,32430,8,0.42,4,Business,Divorced,Bachelors,Owned,Tier2,Gold,13/06/2025,Approved
103402,29,70752,624,1019,33,0.38,1,Self-Employed,Married,High School,Owned,Tier1,Silver,10/01/2024,Rejected
